사업유형,사업번호,사업년도,사업명,홈페이지모집시작일자,홈페이지모집종료일자,홈페이지공고시작일,홈페이지공고종료일,홈페이지담당자명,홈페이지모집인원수,삭제여부
공익활동형,2021-49402,2021,푸름 환경 사업단,2021-08-17 00:00:00,2021-08-31 00:00:00,2021-08-17 00:00:00,2021-08-31 00:00:00,김유미,20,N
사회서비스형,2021-09197,2021,아이사랑지키미,2020-12-28 00:00:00,2021-01-15 00:00:00,2020-12-28 00:00:00,2021-01-15 00:00:00,연명순,20,N
공익활동형,2021-06844,2021,지역아동센터행복도우미,2020-11-30 00:00:00,2020-12-07 00:00:00,2020-11-30 00:00:00,2020-12-07 00:00:00,표효순,210,N
공익활동형,2021-06852,2021,EM환경지키미,2020-11-30 00:00:00,2020-12-07 00:00:00,2020-11-30 00:00:00,2020-12-07 00:00:00,표효순,100,N
공익활동형,2021-06393,2021,불법광고물환경정비,2020-12-08 00:00:00,2020-12-11 00:00:00,2020-12-01 00:00:00,2020-12-11 00:00:00,강미희,150,N
공익활동형,2021-06135,2021,경로당취사도우미,2020-12-08 00:00:00,2020-12-11 00:00:00,2020-12-01 00:00:00,2020-12-11 00:00:00,강혜임,160,N
공익활동형,2021-05722,2021,학교급식도우미,2020-12-08 00:00:00,2020-12-11 00:00:00,2020-12-01 00:00:00,2020-12-11 00:00:00,이은희,100,N
사회서비스형,2021-47029,2021,보육시설실버파트너,2021-08-17 00:00:00,2021-08-18 00:00:00,2021-07-27 00:00:00,2021-08-18 00:00:00,권혁용,47,Y
공익활동형,2021-47751,2021,수변산책로지키미,2021-08-17 00:00:00,2021-08-18 00:00:00,2021-08-09 00:00:00,2021-08-18 00:00:00,권혁용,36,N
사회서비스형,2021-47754,2021,보육시설실버파트너,2021-08-17 00:00:00,2021-08-18 00:00:00,2021-08-09 00:00:00,2021-08-18 00:00:00,권혁용,44,N
공익활동형,2021-47027,2021,수변산책로지키미,2021-08-17 00:00:00,2021-08-18 00:00:00,2021-08-09 00:00:00,2021-08-18 00:00:00,권혁용,33,Y
공익활동형,2021-06476,2021,노노케어-9988행복지키미,2020-12-08 00:00:00,2020-12-11 00:00:00,2020-12-01 00:00:00,2020-12-31 00:00:00,장미숙,380,N
사회서비스형,2021-10230,2021,시니어안전모니터링,2021-01-13 00:00:00,2021-01-14 00:00:00,2021-01-06 00:00:00,2021-01-14 00:00:00,허정우,50,Y
공익활동형,2021-06465,2021,공공시설환경개선도우미,2020-12-08 00:00:00,2020-12-11 00:00:00,2020-12-01 00:00:00,2020-12-11 00:00:00,이은경,190,N
사회서비스형,2021-10315,2021,시니어안전모니터링,2021-01-19 00:00:00,2021-01-21 00:00:00,2021-01-12 00:00:00,2021-01-21 00:00:00,권혁용,50,N
사회서비스형,2021-10253,2021,시니어안전모니터링,2021-01-13 00:00:00,2021-01-14 00:00:00,2021-01-06 00:00:00,2021-01-14 00:00:00,허정우,50,Y
공익활동형,2021-06268,2021,학교클린도우미,2020-12-08 00:00:00,2020-12-11 00:00:00,2020-12-01 00:00:00,2020-12-31 00:00:00,허현구,200,N
사회서비스형,2021-10225,2021,아동청소년서비스지원,2021-01-19 00:00:00,2021-01-21 00:00:00,2021-01-12 00:00:00,2021-01-21 00:00:00,구인영,160,Y
시장형,2021-06679,2021,더드림유통,2020-12-08 00:00:00,2020-12-11 00:00:00,2020-12-01 00:00:00,2020-12-31 00:00:00,정구선,14,N
사회서비스형,2021-48095,2021,들꽃아동그룹홈도우미,2021-08-17 00:00:00,2021-08-18 00:00:00,2021-08-09 00:00:00,2021-08-18 00:00:00,권혁용,3,N
공익활동형,2021-06271,2021,해우소관리봉사,2020-12-08 00:00:00,2020-12-11 00:00:00,2020-12-01 00:00:00,2020-12-31 00:00:00,성의진,200,N
시장형,2021-06673,2021,백세보리밥,2020-12-08 00:00:00,2020-12-11 00:00:00,2020-12-01 00:00:00,2020-12-31 00:00:00,이재호,14,N
공익활동형,2021-06441,2021,충주환경지키미,2020-12-08 00:00:00,2020-12-11 00:00:00,2020-12-01 00:00:00,2020-12-11 00:00:00,김정옥,777,N
시장형,2021-06636,2021,백세밥상,2020-12-08 00:00:00,2020-12-11 00:00:00,2020-12-01 00:00:00,2020-12-31 00:00:00,김경선,16,N
공익활동형,2021-06267,2021,공공기관은빛도우미,2020-12-08 00:00:00,2020-12-11 00:00:00,2020-12-01 00:00:00,2020-12-11 00:00:00,윤유덕,96,N
시장형,2021-06687,2021,모아모아고물상,2020-12-08 00:00:00,2020-12-11 00:00:00,2020-12-01 00:00:00,2020-12-31 00:00:00,최은주,39,N
시장형,2021-06702,2021,청춘밥상,2020-12-08 00:00:00,2020-12-11 00:00:00,2020-12-01 00:00:00,2020-12-31 00:00:00,이재호,10,N
사회서비스형,2021-10255,2021,아동청소년서비스지원,2021-01-19 00:00:00,2021-01-21 00:00:00,2021-01-12 00:00:00,2021-01-21 00:00:00,구인영,160,Y
시장형,2021-06683,2021,꿈꾸는재봉,2020-12-08 00:00:00,2020-12-11 00:00:00,2020-12-01 00:00:00,2020-12-31 00:00:00,김종달,7,N
사회서비스형,2021-10314,2021,아동청소년서비스지원사업,2021-01-19 00:00:00,2021-01-21 00:00:00,2021-01-12 00:00:00,2021-01-21 00:00:00,구인영,160,N
공익활동형,2021-03568,2021,안심방역도우미,2020-11-23 00:00:00,2020-12-18 00:00:00,2020-11-23 00:00:00,2020-12-18 00:00:00,박진연,28,N
공익활동형,2021-03612,2021,은빛보듬이,2020-11-23 00:00:00,2020-12-18 00:00:00,2020-11-23 00:00:00,2020-12-18 00:00:00,박진영,25,N
공익활동형,2021-03151,2021,공공복지도우미,2020-11-23 00:00:00,2020-12-18 00:00:00,2020-11-23 00:00:00,2020-12-18 00:00:00,박진영,54,N
공익활동형,2021-03532,2021,실버강사도우미,2020-11-23 00:00:00,2020-12-18 00:00:00,2020-11-23 00:00:00,2020-12-18 00:00:00,박진영,23,N
공익활동형,2021-03193,2021,사서도우미,2020-11-23 00:00:00,2020-12-18 00:00:00,2020-11-23 00:00:00,2020-12-18 00:00:00,박진영,30,N
시장형,2021-03795,2021,깔끄미포장,2020-11-23 00:00:00,2020-12-18 00:00:00,2020-11-23 00:00:00,2020-12-18 00:00:00,계형국,25,N
공익활동형,2021-02282,2021,아동시설도우미,2020-11-23 00:00:00,2020-12-18 00:00:00,2020-11-16 00:00:00,2020-12-31 00:00:00,강우리,150,N
공익활동형,2021-03005,2021,방역활동도우미,2020-11-23 00:00:00,2020-12-18 00:00:00,2020-11-16 00:00:00,2020-12-31 00:00:00,구미나,135,N
시장형,2021-03508,2021,향기담은 은빛건강원,2020-11-23 00:00:00,2020-12-18 00:00:00,2020-11-23 00:00:00,2020-12-18 00:00:00,계형국,16,N
시장형,2021-03845,2021,다모아만물상,2020-11-23 00:00:00,2020-12-18 00:00:00,2020-11-23 00:00:00,2020-12-18 00:00:00,엄세환,18,Y
시장형,2021-03374,2021,카페향기담음,2020-11-23 00:00:00,2020-12-18 00:00:00,2020-11-23 00:00:00,2020-12-18 00:00:00,정해순,20,N
공익활동형,2021-47689,2021,골목환경도우미 추경사업,2021-08-02 00:00:00,2021-08-20 00:00:00,2021-08-02 00:00:00,2021-08-31 00:00:00,신효진,70,N
사회서비스형,2021-47649,2021,아동시설방역지원,2021-08-16 00:00:00,2021-08-20 00:00:00,2021-08-02 00:00:00,2021-08-20 00:00:00,김재용,30,N
사회서비스형,2021-09293,2021,아동시설지원,2020-12-28 00:00:00,2021-01-15 00:00:00,2020-11-16 00:00:00,2021-01-15 00:00:00,김재용,100,N
공익활동형,2021-12114,2021,노노케어(도),2021-01-06 00:00:00,2021-01-15 00:00:00,2021-01-06 00:00:00,2021-01-15 00:00:00,문상원,14,N
시장형,2021-09126,2021,다모아 만물상,2020-11-23 00:00:00,2020-12-18 00:00:00,2020-11-23 00:00:00,2020-12-18 00:00:00,엄세환,18,N
시장형,2021-02490,2021,엄마손밥상,2020-11-23 00:00:00,2020-12-18 00:00:00,2020-11-23 00:00:00,2020-12-18 00:00:00,엄세환,14,N
